Address
Shah-re-Naw Ministry of Interior Street Kabul
949 Francis Baard Street Hatfield. Pretoria
Avenue Souidani Boudjemaa 61 Algiers
2020 Massachusetts Avenue NW. Washington DC
Diplomatic Quarter. Riyadh
Mariscal Ramon Castilla 2901. Buenos Aires
8 Darwin Avenue Yarralumla. Canberra
Gustav Tschermakgasse 5-7 Vienna
Azer Aliyev 3 Nasimi Baku
Villa 2113 Road 2432 Manama
Road No 53 Plot No 14 Gulshan Dhaka
Tobias Asserlaan 8 Den Haag
Boulevardde la Woluwe 38 Brussels
Splitska 9. Sarajevo
SES Avenida Das Nacoes Quadra 805 Brasilia-DF
30 Great Peter Street. London
Jalan Kebangsaan Kampung Kawasan Diplomatik Mukim Kianggeh Bandar Seri Begawan
Simeonovsko Shosse Sofia
Nad Budankami II  7. Praha
Avenida Las Urbinas 160 Providencia. Santiago
Alle 1 Hellerup Copenhagen
CALLE QUITEO LIBRE E15 QUITO
Egypt Street Mekanissa Road Woreda 05  Addis Ababa
Marama Building  91 Gordon Street Fiji
Salcedo Street 185 Manila
Kuusisaarentie 3. Helsinki
Varosligeti fasor 26. Budapest
50-A Kautilya Marg Chanakyapuri. New Delhi
Salhiya Hay Al-l'lam 220  Zukak 5 Baghdad
Ghaemmagham 180 Tehran
Via Campania 55. Roma
4 Chome--1 Yotsuya Shinjuku City.Tokyo
Lehrter 16 Berlin
Street 268 Preah Suramarit Boulevard Phnom Penh
55 Parkdale Avenue. Ottawa
Saraishyk Street Diplomatic town. Nur-Sultan
Menengai Rd Upper Hill. Nairobi
Calle 70 Bogota
380 Yeouidaebang-ro Yeongdeungpo-gu. Seoul
Munsudong Taedonggang Distric Pyongyang
Ulica Medveak 56 Zagreb
5ta Avenida  1607 Miramar. La Habana
Daiya Block 1 Rashed Ahmed Al-Roumi Street
Kaysone Phomvihane Avenue. Vientiane
Presidential Palace Avenue Rue 68 Sector 3 Beirut
Hay Al Karamah Qobri Taariq Al Sari Tripoli
Jalan Tun Razak 233 Kualalumpur 
Rue Beni Boufrah 63 Rabat 
Julio Verne No 27 Mexico City
Aisha El Taymouria Street 13 Garden City Cairo
Streets No 141 Sommerschield  Maputo
Pyiudaungsu Yeiktha Road 100 Yangon
103 Nelson Mandela Avenue. Windhoek
Katsina Ala Crescent 10 Abuja
Fritzners gate 12. Oslo
Al-Shatty Qurum Building Way 3015 Muscat
Diplomatic Enclave I Street 5 Islamabad
Casa no 15 y Ricardo Arango Urbanizacion Obarrio Calle 55 Este. Panama City
Sir John Giuse Drive Lot 12 Section 410 Port Moresby
Avenida Las Flores 334-336 San Isidro. Lima
ulica Estoska 3 Warsawa
Avenida Dom Vasco da Gama no 40 Lisbon
47-49 rue Cortambert. Paris
Al Salmiya Street  Zone 66  Street 943 Onaiza
19 Aleea Alexandru Sector 1. Bucharest
Novokuznetskaya Ulitsa No 12 Moscow
70 Glen Road  Kelburn .Wellington
Avenue Cheikh Anta Diop BP. DAKAR
Bulevar Kneza Aleksandra Karadjordjevica No 18. Beograd
7 Chatsworth Road. Singapore
Brnianska 31. Bratislava
Calle de Agastia No  65. Madrid
Sarana Road 400/50 Colombo
Street 60 Block No 12 Al Riyadh Area Khartoum
al-Madina al-Munawara Street Block 270A Building No 26 Damascus
Van Brussellaan 3  Paramaribo
Kungsbroplan 1. Stockholm
Elfenauweg 51. Bern
Via Marocco 1000144. Roma
299 Ali Hassan Mwinyi Road. Dar es Salaam
Petchburi Road 600 Bangkok
Rua Karketu Mota-Ain No 02 Dili
Dong Zhi Men Wai Da Jie No 4 Chaoyang District. Beijing
Rue 15 du Lac Mlaren Les berges Tunis
Prof Dr Aziz Sancar 10 Ankara
Sultan Bin Zayed Street Str 32  Abu Dhabi
17 Universytetska Street. Kyiv
YahyoGulomov Street 73 Tashkent
Avenida El Paseo Caracas
50 Ngo Quyen Street. Hanoi
Ali Seedo Al-Kurdi Street 13 Amman
Marathonodromon Street 15452 Athens
Duthie Avenue  3 Harare
