,Country,Capital,Address,latitude,longitude
78, Takhta Suci,Vatican,Via Marocco 1000144. Roma,41.8206341,12.4660993
79, Tanzania,Dar es Salaam ,299 Ali Hassan Mwinyi Road. Dar es Salaam,-6.796459700000001,39.281544200000006
80, Thailand,Bangkok ,Petchburi Road 600 Bangkok,13.7551807,100.5267148
81, Timor Leste,Dili ,Rua Karketu Mota-Ain No 02 Dili,-8.550615400000002,125.56916799999999
82, Tiongkok,Beijing ,Dong Zhi Men Wai Da Jie No 4 Chaoyang District. Beijing,39.9396961,116.4383607
83, Tunisia,Tunis,Rue 15 du Lac Mlaren Les berges Tunis,33.687264,9.007775
84, Turki,Ankara ,Prof Dr Aziz Sancar 10 Ankara,39.885977200000006,32.858080199999996
85, Uni Emirat Arab,Abu Dhabi ,Sultan Bin Zayed Street Str 32  Abu Dhabi,24.365906,54.582223
86, Ukraina,Kyiv ,17 Universytetska Street. Kyiv,50.4194649,30.480808832627112
87, Uzbekistan,Tashkent,YahyoGulomov Street 73 Tashkent,41.26465,69.21627
88, Venezuela,Caracas ,Avenida El Paseo Caracas,10.452583099999998,-66.879828
89, Vietnam,Hanoi ,50 Ngo Quyen Street. Hanoi,21.026049800000003,105.85553600000001
90, Yordania,Amman ,Ali Seedo Al-Kurdi Street 13 Amman,31.9473593,35.87389595238233
91, Yunani,Athena ,Marathonodromon Street 15452 Athens,37.959118100000005,23.7155522
92, Zimbabwe,Harare ,Duthie Avenue  3 Harare,-17.7966501,31.046798600000002
