,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1.0,Sandwich Place,Italian Restaurant,Coffee Shop,Greek Restaurant,Thai Restaurant,Liquor Store,Comfort Food Restaurant,Fast Food Restaurant,Juice Bar,Butcher
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999998,3.0,Fast Food Restaurant,Sandwich Place,Discount Store,Drugstore,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Dim Sum Restaurant
57,M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002,1.0,Fabric Shop,Baseball Field,Women's Store,Dumpling Restaurant,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,1.0,Café,General Entertainment,Skating Rink,College Stadium,Concert Hall,Construction & Landscaping,Fabric Shop,Event Space,Ethiopian Restaurant,Escape Room
59,M2N,North York,Willowdale South,43.7701199,-79.40849279999998,1.0,Ramen Restaurant,Restaurant,Sushi Restaurant,Sandwich Place,Japanese Restaurant,Pizza Place,Café,Coffee Shop,Hotel,Bank
60,M3N,North York,Downsview Northwest,43.7616313,-79.52099940000002,1.0,Gym / Fitness Center,Liquor Store,Grocery Store,Discount Store,Athletics & Sports,Drugstore,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
61,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,1.0,Dim Sum Restaurant,Park,Bus Line,Swim School,Drugstore,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
62,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,1.0,Garden,Home Service,Fabric Shop,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Dessert Shop
63,M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000002,1.0,Pizza Place,Grocery Store,Convenience Store,Brewery,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Fabric Shop,Dim Sum Restaurant
64,M9N,York,Weston,43.706876,-79.51818840000001,0.0,Park,Women's Store,Dumpling Restaurant,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000002,1.0,Indian Restaurant,Chinese Restaurant,Pet Store,Light Rail Station,Vietnamese Restaurant,Gaming Cafe,Thrift / Vintage Store,Women's Store,Diner,Discount Store
66,M2P,North York,York Mills West,43.7527583,-79.4000493,0.0,Park,Convenience Store,Women's Store,Dumpling Restaurant,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,1.0,Pizza Place,Hotel,Breakfast Spot,Food & Drink Shop,Sandwich Place,Department Store,Gym / Fitness Center,Park,Concert Hall,Discount Store
68,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.41130720000002,1.0,Jewelry Store,Sushi Restaurant,Mexican Restaurant,Trail,Drugstore,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Women's Store
69,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,1.0,Thai Restaurant,Mexican Restaurant,Café,Fast Food Restaurant,Bookstore,Speakeasy,Flea Market,Cajun / Creole Restaurant,Italian Restaurant,Discount Store
70,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,1.0,Pizza Place,Middle Eastern Restaurant,Intersection,Discount Store,Sandwich Place,Chinese Restaurant,Coffee Shop,Distribution Center,Dog Run,Doner Restaurant
71,M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,1.0,Middle Eastern Restaurant,Auto Garage,Smoke Shop,Bakery,Sandwich Place,Women's Store,Donut Shop,Distribution Center,Dog Run,Doner Restaurant
72,M2R,North York,Willowdale West,43.7827364,-79.4422593,1.0,Pizza Place,Supermarket,Coffee Shop,Butcher,Discount Store,Pharmacy,Grocery Store,Gluten-free Restaurant,Dog Run,Dessert Shop
